source,target
A10014-0,A11813-0
A10014-0,A18443-0
A10014-0,A25933
A10014-0,A26500-1
A10014-0,A27463-58
A10014-0,A27664-0
A10014-0,A29195-1
A10014-0,A37213-0
A10014-0,A40785-0
A10014-0,A41093-0
A10014-0,A41419-0
A10014-0,A49668-2
A10014-0,A51360-6
A10014-0,A52109-0
A10014-0,A5514-0
A10014-0,A6487-1
A10014-0,A9661-1
A10022,A51633-0
A10022,A51977-0
A10031,A12749-0
A10031,A15939
A10031,A18874-1
A10031,A20701-0
A10031,A25811
A10031,A32399-0
A10054-0,A16515-0
A10054-0,A33680-0
A10054-0,A35409-0
A10054-0,A45044-0
A10067-0,A14596-0
A10067-0,A3310-0
A10103-0,A22056-0-0
A10103-0,A38299-0
A10106-2,A2942-0
A10106-2,A32824-0
A10106-2,A52300-5
A10112-0,A6131-0
A10112-0,A6744-1
A10118-0,A11543-0
A10118-0,A32296-0
A10118-0,A52264-2
A10118-1,A22366-0
A10118-1,A28258-6
A10118-1,A32296-0
A10118-1,A36602-0
A10118-1,A39995-0
A10118-1,A40312-1
A10118-1,A49688-25
A10118-1,A50943-13
A10127-0,A32730-0
A10134-3,A52556-0
A10136-0,A11390-0
A10136-0,A16266-0
A10136-0,A18422-0
A10136-0,A28915-0
A10136-0,A3814-0
A10136-0,A38299-0
A10136-0,A43706-0
A10136-0,A45472-0
A10137-1,A36983-0
A10137-1,A4397-0
A10137-1,A50471-0
A10137-2,A12402-0
A10138-0-0,A41213-0
A10138-2-1,A11259
A10138-2-1,A23690
A10138-2-1,A26298
A10138-2-1,A277
A10138-2-1,A28821-0
A10138-2-1,A7232-0
A10139-0,A16836-0
A10139-0,A22444-0
A10140,A13003-0
A10140,A22180-0
A10140,A46240-0
A10140,A52031-0
A10183-0,A20666-18
A10183-0,A22063-2
A10183-0,A25640-0
A10183-0,A27922-0
A10183-0,A30305-0
A10183-0,A43982-0
A10183-0,A44546-0
A10183-0,A47394-0
A10183-0,A52236-12
A10183-0,A7006-3
A10184-0,A19534
A10184-0,A21134-0
A10184-0,A21892
A10184-0,A35811-0
A10193-0,A20657-11
A10193-1,A27865-0
A10193-1,A40158-0
A10193-1,A46618-0
A10193-1,A51070-0
A10220-2,A16268-0
A10220-2,A26497-4-0
A10220-2,A4472
A10226-0,A12401-0
A10226-0,A1509-0
A10226-0,A26508-0-0
A10226-0,A39443-0
A10226-0,A44945
A10226-0,A47216-0
A10226-0,A5874-0
A10226-3,A1509-0
A10226-3,A24209-0
A10226-3,A27025-0-0
A10226-3,A27450-43
A10226-3,A43977-3
A10226-3,A44608
A10226-3,A49668-17
A10226-3,A50957-3
A10226-3,A51380-0
A10226-3,A6782
A10229-0,A11698-0
A10229-0,A14164-0
A10229-0,A35487-0
A10229-0,A37978-0
A10229-0,A41492-0
A10229-0,A51085-0
A10230-0,A10342-0
A10230-0,A13052
A10230-0,A14525-0
A10230-0,A14866-0
A10230-0,A35812
A10230-0,A38664-0
A10230-0,A41152-0
A10230-0,A46103-0
A10230-0,A49449-0
A10230-0,A5341-0
A10230-0,A6716-0
A10264-1,A47337-5
A10264-1,A9859-1
A10269,A17346-0
A10269,A35653-1
A10310-0,A35798-0
A10310-0,A37503-0
A10338,A17714
A10338,A41352
A10338,A47330-2
A10338,A50063-0
A1036-0,A41213-0
A1036-0,A47394-0
A1040-1,A13221-0
A1040-1,A17905-0
A1040-1,A48486-0
A1040-1,A49729
A1040-1,A6799-0
A10400,A25108-0
A10400,A32399-0
A10400,A43398
A1041-0,A17622
A1041-0,A46115-1
A1041-0,A46646-0
A10410-0,A12803-0
A10410-0,A14111-0
A10410-0,A14710-0
A10410-0,A16911-0
A10410-0,A19476
A10410-0,A30704-0
A10410-0,A52341-9
A10410-0,A6737-11
A10411-0,A12803-0
A10411-0,A27010-19
A10411-0,A27236-10
A10411-0,A36042-0
A10411-0,A36751-0
A10411-0,A6737-15
A10418-0,A28328-0
A10418-0,A32351-0
A10418-0,A39782-0
A10418-0,A40980-0
A10418-1,A12586-0
A10418-1,A2175-0
A10418-1,A39001-0
A10418-1,A44671-0
A10431-0,A48402-0
A10491,A20981-0
A10491,A43778-0
A10502-0,A39002-0
A10502-0,A49455
A10515,A26560-1
A10515,A4303-0
A10515,A48293-0
A10515,A7232-0
A10558-2,A40980-0
A10558-2,A4122-0
A10627-0,A9369-0
A10643-0,A20663-3
A10643-0,A25208-0
A10643-0,A27027-0-4
A10643-0,A27464-1
A10643-0,A30282-0
A10643-0,A31101-2
A10643-0,A42659
A10643-0,A45223-0
A10643-0,A45267-0
A10643-0,A50962-2
A10643-0,A52216
A10643-0,A52345-0-3
A10643-0,A52554-0
A10643-0,A8016-17
A10643-0,A8468-0
A10643-0,A9549-2
A10670,A17581-0
A10670,A27751-0
A10682-0,A26982-0
A10682-0,A38275-0
A10682-0,A41011-0
A10682-0,A4656-0
A10682-0,A5447-0
A10684-0,A37961-0
A10737-1,A18422-0
A10739,A18106-0
A10739,A27452-0-0
A10739,A7025
A10823-0,A1211-0
A10823-0,A29744-0
A10823-0,A9618-0
A10846-0,A11998-0
A10846-0,A6036-0
A10846-1,A11998-0
A10846-1,A21806-3
A10869-0,A13633-1
A10869-0,A18422-0
A10869-0,A18422-1
A10869-0,A21668
A10869-0,A22107-0
A10869-0,A30494-0
A10869-0,A30494-1
A10869-0,A32246-0
A10869-0,A3432-0
A10869-0,A37728-0
A10869-0,A45894-3
A10869-0,A50653-1
A10869-0,A52356-0-1
A10869-0,A7232-0
A10869-0,A7759-0
A10869-2,A16363-0
A1088-1,A31157-0
A1088-1,A43715-0
A1088-1,A9737-0
A10905-0,A32347-0
A10905-0,A8007-7-1
A10906,A11998-1
A10906,A24436-0
A10906,A36762-0
A10918-0,A15017-0
A10918-0,A22759-0
A10918-0,A35306-0
A10918-0,A35313-0
A10918-0,A39276-0
A10918-0,A45982-0
A10918-0,A48560-0
A10935-1,A43327
A10935-1,A49334-0
A11032-5,A17765-0
A11032-5,A49428-0
A11039-0,A16006-0
A11039-0,A18571-13
A11039-0,A27016-Unknow1
A11039-0,A27452-0-0
A11040-7,A19429-0
A11040-7,A6716-0
A11040-7,A9399-0
A11047-3,A42586-0
A11047-4,A42586-0
A11047-4,A49682-9
A11047-4,A49687-11
A11047-Unknow0,A22366-0
A11047-Unknow0,A45136-0
A11047-Unknow0,A50943-13
A11101-0,A26268-0
A11104-1,A26301-0
A11104-1,A45260-2
A11122,A44852-0
A11142-0,A14956-0
A11142-0,A34872-0
A11171-0,A13940
A11171-0,A14833
A11171-0,A17537
A11171-0,A17778-0
A11171-0,A20171-1
A11171-0,A20171-2
A11171-0,A23601
A11171-0,A24016-0
A11171-0,A24605-0
A11171-0,A25568
A11171-0,A30510-0
A11171-0,A31486
A11171-0,A33202-0
A11171-0,A33204
A11171-0,A35303-0
A11171-0,A36007-0
A11171-0,A36007-1
A11171-0,A36614-0
A11171-0,A36650-1
A11171-0,A37357
A11171-0,A37542
A11171-0,A3923
A11171-0,A41765-0
A11171-0,A4186
A11171-0,A43041-0
A11171-0,A4372
A11171-0,A44968
A11171-0,A4541-0
A11171-0,A4541-1
A11171-0,A46756-0
A11171-0,A48295-0
A11171-0,A48873-0
A11171-0,A49238-2
A11171-0,A49268-0
A11171-0,A50345-0
A11171-0,A50814-1
A11171-0,A50854-0
A11171-0,A52316-0
A11171-0,A52381-0
A11171-0,A5410-0
A11171-0,A5737
A11171-0,A5930-0
A11171-0,A5930-2
A11171-0,A6334-0
A11171-1,A18438-0
A11171-1,A24157-0
A11171-1,A4702
A11171-1,A47125
A11171-1,A49268-0
A11187-0,A33822-0
A11187-0,A44546-0
A11204-0,A16782-0
A11204-0,A19150-0
A11204-0,A40113-0
A11204-0,A46693-0
A11204-0,A7941-0
A11207-1,A39471-0
A11207-1,A47637-1
A11207-1,A49763-0
A11207-1,A6644
A11215-0,A26799-0
A11215-0,A28008-0
A11215-0,A289
A11215-0,A34344
A11215-0,A6115
A11228,A21231-0
A11228,A32351-0
A11228,A39782-0
A11230-0,A32296-0
A11230-0,A45142-0
A11230-0,A7890-0
A11231-0,A18001-0
A11231-0,A20225-0
A11231-0,A21046-0
A11231-0,A22796
A11231-0,A23885-16
A11231-0,A2800-2
A11231-0,A38293-1
A11231-0,A4420-0
A11231-0,A8009-8
A11239-0,A24806-0
A11241,A39194-0
A11241,A48083-1
A11241,A6340-0
A11259,A23690
A11259,A26298
A11259,A277
A11259,A28821-0
A11259,A7232-0
A11263,A21257-0
A11263,A25970
A11263,A35532-0
A11263,A4397-1
A11263,A5576
A11283-0,A12803-0
A11283-0,A32510-0
A11304-0,A35262-0
A11304-0,A46112-0
A11304-1,A46112-0
A11306-0,A30102-0
A11306-0,A42224-0
A11309,A17847-0
A11309,A38619-0
A11329-0,A44400-0
A11329-0,A7703-2
A11329-0,A8020-6
A11329-0,A9399-0
A11329-1,A37601-0
A11329-1,A6716-0
A11329-1,A9399-0
A11332-0,A20216-0
A11332-0,A27452-0-0
A11332-0,A39591
A11332-0,A7893-1
A11332-0,A8020-0-3
A11337-0,A18349-1
A11337-0,A30-0
A11341,A21165-0
A11341,A24490-1
A11341,A3249
A11343-1,A21046-0
A11343-1,A22062-0
A11343-1,A23334-1
A11343-1,A28261-6
A11343-1,A52163-1
A11390-0,A31786-0
A11390-0,A51743-0
A11391,A25272-1
A11391,A51739-4
A11391,A51743-0
A11393-0,A34799-0
A11393-0,A8015-45
A11396-0,A13205
A11396-0,A52281-3
A11399,A38503-0
A11399,A47541
A11420-0,A17895-0
A11420-0,A32975-0
A11420-0,A9062-0
A11426-0,A20679-1
A11426-0,A21231-0
A1143-0,A48042-0
A1143-0,A51633-0
A1143-0,A51977-0
A11459,A2551-0
A11466-0,A16494-1
A11466-0,A17765-0
A11466-0,A18841-1
A11466-0,A19414-1
A11466-0,A3230-3
A11466-0,A35016
A11466-0,A38950-0
A11466-0,A39400-0
A11466-0,A39935-0
A11466-0,A41572-0
A11466-0,A42816-7
A11466-0,A44456-1
A11466-0,A46108
A11466-0,A51472-Unknow0
A11466-0,A52241-5
A11466-0,A6016-2
A11466-0,A9399-0
A11469-1,A12337-0
A11469-1,A30661-2
A11469-1,A5577-0
A11496-0,A16015-0
A11496-0,A22585-0
A11496-0,A23147-0
A11532-0,A18003-5
A11532-0,A20577-0
A11532-0,A46635-3
A11532-0,A49685-0-3
A11532-0,A51801-0
A11532-1,A49685-0-3
A11543-0,A16006-0
A11543-0,A22069-2
A11543-0,A27026-55
A11543-0,A27912-14
A11543-0,A30903-3
A11543-0,A32296-0
A11543-0,A39308-1
A11543-0,A48452-0
A11543-0,A51355-4
A11543-0,A52264-2
A11543-4,A16006-0
A11543-4,A51305-0
A11543-4,A52357-0-1
A11543-5,A13939-1
A11543-5,A31263-0
A11543-5,A48452-1
A11546-1,A9047-0
A11549-0,A49680-0-3
A11550-0-1,A20855-0
A11550-0-1,A27460-33
A11550-0-1,A34125-0
A11550-0-1,A47382-0
A11550-13,A32824-0
A11550-3,A16028-2
A11550-3,A26496-0-3
A11550-3,A51090-4
A11572-0,A24019
A11572-0,A35811-0
A11576-0,A45226-1
A11576-0,A8020-2
A11589-1,A25740-0
A11613,A13887
A11613,A43434-0
A11613,A7892-0
A11679-0,A27835-0
A11687-0,A18642-0
A11687-0,A26723-1
A11687-0,A27452-43
A11687-0,A29637-0
A11687-0,A39446-0
A11687-0,A50156-0
A11688-0,A49466-0
A11688-1,A14669
A11688-1,A23885-3-2
A11688-1,A34799-0
A11698-0,A14164-0
A11698-0,A35487-0
A11698-0,A37978-0
A11698-0,A41492-0
A11698-0,A51085-0
A11699-0,A36006-0
A11699-0,A825-0
A11783,A17000-0
A11783,A48293-0
A11789,A2488
A11789,A33643
A11789,A40950-0
A11789,A42051-0
A11813-0,A17488-0
A11813-0,A18987-0
A11813-0,A30122-0
A11813-0,A32721-0
A11813-0,A35449-0
A11813-0,A40785-0
A11813-0,A52109-0
A11813-0,A52437-0
A11813-0,A9091-0
A11813-0,A9399-0
A1184-0,A23880-14
A1184-0,A27008-1
A11854-3,A13633-1
A11854-3,A18683
A11855-6,A15555-9
A11855-6,A46776-0
A11859-1,A7703-0
A11859-1,A8007-5
A11869-1,A27008-1
A11869-1,A42586-0
A11869-1,A51802-5
A11869-3,A19227-0
A11869-3,A43429-0
A11869-Unknow0,A51802-Unknow0
A11869-Unknow0,A52373-0-0
A11883-0,A13840-0
A11883-0,A18079-0
A11883-0,A22308-1
A11883-0,A33378
A11883-0,A43703-17
A11883-0,A44548-0
A11890-0,A15855-0
A11890-0,A15855-1
A11890-0,A177-0
A11890-0,A1874-0
A11890-0,A20854-0
A11890-0,A22107-0
A11890-0,A22238-0
A11890-0,A3983-0
A11890-0,A6940-0
A11909-0,A18422-0
A11939-0,A30017
A11939-0,A35589-1
A11939-0,A43446-0
A11939-0,A45119-0
A11939-0,A50017-0
A11950,A21926-0
A11950,A2580-0
A11950,A52415-1
A11950,A52415-2
A11978-0,A50051-0
A11994-0,A36963-0
A11994-0,A52345-1
A11994-1,A37702-1
A11994-1,A8008-34
A11997-0,A17890-0
A11997-0,A28654-0
A11997-0,A29272-0
A11997-0,A32130-0
A11997-0,A32130-1
A11997-0,A32131
A11997-0,A34395-1
A11997-0,A39266-0
A11997-0,A39266-2
A11997-0,A40255-0
A11997-1,A32130-0
A11997-1,A34395-3
A11997-1,A48258
A11998-0,A1526-0
A11998-0,A16728-0
A11998-0,A20161
A11998-0,A21806-3
A11998-0,A37245
A11998-0,A43413-12
A11998-0,A50156-0
A11998-0,A6036-0
A11998-1,A24436-0
A11998-1,A36762-0
A11998-1,A49286
A11998-1,A49676-15
A11998-1,A5524-0
A12004-0,A41934-0
A12004-0,A46115-1
A12008-0,A13753-0
A12008-0,A1409-0
A12008-0,A19991-0
A12008-0,A43680-0
A12008-0,A50240-0
A12014-0,A33960
A12014-0,A6364-0
A12047-0,A29205-0
A12079,A12164-0
A12079,A14750
A12079,A25294-0
A12079,A45226-0
A12079,A45771
A12079,A52639-0
A12083-0,A17638-1
A12083-0,A25443
A12083-0,A28821-0
A12083-0,A30050
A12083-0,A40214-0
A12083-0,A44972
A12083-0,A4656-0
A12083-0,A7639-1
A12096-Unknow1,A38722-0
A1211-0,A29744-0
A1211-0,A9618-0
A12152,A44580-0
A12156-1,A48101-0
A12156-1,A50118-0
A12164-0,A14750
A12164-0,A26891-1
A12164-0,A29637-0
A12164-0,A34352-0
A12164-0,A36124-0
A12164-0,A36856-0
A12164-0,A39002-0
A12164-0,A45226-0
A12164-0,A50499-2
A12164-0,A7924-0
A12170-0,A2713-0
A12170-0,A46734-0
A12170-1,A2713-0
A12176,A14845-0
A12176,A588-0
A12176,A9584-0
A12181-0,A12190-Unknow0
A12181-0,A1267-0
A12181-0,A20666-1
A12181-0,A2178-0
A12181-0,A22493-1
A12181-0,A23531
A12181-0,A25377-0
A12181-0,A26396-0
A12181-0,A29388-0
A12181-0,A36578-1
A12181-0,A42051-0
A12181-0,A50823-0
A12188-1,A22937-2
A12188-1,A24819-0
A12190-Unknow0,A20666-1
A12191-1,A52237-0-4
A12194-1,A27047-0-0
A12194-1,A28270-0-2
A12194-1,A42728-13
A12194-1,A49686-6
